V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
14.9255,0,5.32465,0,All
22.7666,0.00666667,7.60827,0.00666667,All
24.0689,0.0133333,8.08783,0.0133333,All
25.2172,0.02,8.28067,0.02,All
25.4385,0.0266667,8.46912,0.0266667,All
25.8499,0.0333333,9.05631,0.0333333,All
26.5119,0.04,9.18596,0.04,All
27.2897,0.0466667,9.36668,0.0466667,All
27.3197,0.0533333,9.53905,0.0533333,All
27.4321,0.06,9.58228,0.06,All
27.5719,0.0666667,9.65961,0.0666667,All
27.9247,0.0733333,9.77678,0.0733333,All
27.9492,0.08,9.78824,0.08,All
27.9935,0.0866667,9.86981,0.0866667,All
28.0467,0.0933333,9.9837,0.0933333,All
28.5836,0.1,10.0742,0.1,All
28.8957,0.106667,10.0972,0.106667,All
29.1426,0.113333,10.3205,0.113333,All
29.5695,0.12,10.3919,0.12,All
29.7219,0.126667,10.5827,0.126667,All
30.0265,0.133333,10.7323,0.133333,All
30.1731,0.14,10.7692,0.14,All
30.2416,0.146667,10.7733,0.146667,All
30.273,0.153333,10.8329,0.153333,All
30.5571,0.16,10.8433,0.16,All
30.7046,0.166667,10.8806,0.166667,All
30.9855,0.173333,10.9475,0.173333,All
31.2235,0.18,10.9844,0.18,All
31.2683,0.186667,11.0161,0.186667,All
31.3949,0.193333,11.0219,0.193333,All
31.6578,0.2,11.0462,0.2,All
31.714,0.206667,11.0783,0.206667,All
32.1181,0.213333,11.085,0.213333,All
32.1989,0.22,11.1459,0.22,All
32.293,0.226667,11.2094,0.226667,All
32.6015,0.233333,11.2441,0.233333,All
32.648,0.24,11.3298,0.24,All
32.7039,0.246667,11.3609,0.246667,All
32.7801,0.253333,11.3668,0.253333,All
32.8865,0.26,11.3708,0.26,All
32.8964,0.266667,11.4241,0.266667,All
32.9473,0.273333,11.5367,0.273333,All
33.036,0.28,11.6046,0.28,All
33.0953,0.286667,11.775,0.286667,All
33.3002,0.293333,11.7951,0.293333,All
33.3123,0.3,11.9206,0.3,All
33.3976,0.306667,11.946,0.306667,All
33.4613,0.313333,11.9789,0.313333,All
33.5211,0.32,12.0135,0.32,All
33.5609,0.326667,12.1975,0.326667,All
33.6285,0.333333,12.1982,0.333333,All
33.8998,0.34,12.2493,0.34,All
33.9081,0.346667,12.2548,0.346667,All
34.1138,0.353333,12.3104,0.353333,All
34.3843,0.36,12.3526,0.36,All
34.441,0.366667,12.4365,0.366667,All
34.6887,0.373333,12.5065,0.373333,All
34.7159,0.38,12.5237,0.38,All
34.7247,0.386667,12.5977,0.386667,All
35.0682,0.393333,12.6163,0.393333,All
35.1815,0.4,12.6704,0.4,All
35.3072,0.406667,12.684,0.406667,All
35.6112,0.413333,12.7686,0.413333,All
35.7513,0.42,12.9717,0.42,All
35.7695,0.426667,13.3439,0.426667,All
35.9574,0.433333,13.3726,0.433333,All
35.9938,0.44,13.3991,0.44,All
35.9945,0.446667,13.4601,0.446667,All
36.0235,0.453333,13.4624,0.453333,All
36.088,0.46,13.4812,0.46,All
36.4116,0.466667,13.5421,0.466667,All
36.6194,0.473333,13.8054,0.473333,All
36.6474,0.48,13.9209,0.48,All
36.8485,0.486667,13.9277,0.486667,All
36.9651,0.493333,13.9475,0.493333,All
36.9984,0.5,13.9613,0.5,All
37.0006,0.506667,13.9969,0.506667,All
37.0105,0.513333,14.0469,0.513333,All
37.0193,0.52,14.0915,0.52,All
37.2652,0.526667,14.2857,0.526667,All
37.9808,0.533333,14.4073,0.533333,All
38.0297,0.54,14.4483,0.54,All
38.0881,0.546667,14.5697,0.546667,All
38.2819,0.553333,14.6335,0.553333,All
