ID,Variable,Shapiro,Anderson_Darling,Cramer_von_Mises,Liliefors,Pearson,Shapiro_Francia
1,pwRes,7.98866066453017e-5,3.23906271838786e-5,1.41425237461664e-4,1.05518573495593e-4,0.0109118243393754,2.78495394005753e-4
1,iwRes_mean,0.0138037056985985,0.014691314948959,0.00846214995283322,0.0112630199737129,0.0453318438400728,0.00675907779704719
1,npde,0.00875043638369179,0.0034216254204124,0.00305928349734306,0.00297998022019954,0.0161565322862564,0.0182770830063589
2,pwRes,5.30748259078192e-5,2.20447474793234e-5,1.4157626864259e-4,0.00180930059523573,4.82483685568311e-5,1.86604535183947e-4
2,iwRes_mean,8.98777934647783e-6,3.33871951844203e-5,1.31682223366505e-4,0.0120825169689228,0.201013250677448,1.00387374977883e-5
2,npde,0.0106901540965008,0.00400876457182012,0.00441382821133528,0.00841043655187123,0.0035649385385426,0.0213573352300838
3,pwRes,6.57231832353432e-5,2.47256176241223e-5,1.18202458404377e-4,5.07431316505056e-5,8.93229054510198e-4,2.29233386961379e-4
3,iwRes_mean,0.490626873619207,0.337822770219482,0.292489791786598,0.211830037701654,0.0989980285404921,0.416255916479559
3,npde,0.00616508180746873,0.00311340024966916,0.00329342383266936,0.00454616783524779,0.0120461377855984,0.0147472984689416
4,pwRes,6.91342672106728e-5,2.62801735059454e-5,1.23629961580738e-4,5.52049351862992e-5,0.00123576453705884,2.42110444642668e-4
4,iwRes_mean,0.535993618071146,0.295894456833585,0.248673086254947,0.489239927210429,0.371535337474846,0.399178969876987
4,npde,0.00702093215774497,0.00319427676147762,0.00316254568799426,0.00554785504148794,0.0120461377855984,0.0163741022857761
